EstadoCivil;Curso;QualificacaoAnterior;QualificacaoAnteriorGrau;Nacionalidade;NotaAdmissao;NecessidadesEspeciais;Devedor;MensalidadesEmDia;Genero;Bolsista;International;UnidadesCurriculares1SemestreCreditado;UnidadesCurriculares1SemestreInscrito;UnidadesCurriculares1SemestreAvaliacoes;UnidadesCurriculares1SemestreAprovado;UnidadesCurriculares1SemestreGrau;UnidadesCurriculares1SemestreSemAvaliacoes;UnidadesCurriculares2SemestreCreditado;UnidadesCurriculares2SemestreInscrito;UnidadesCurriculares2SemestreAvaliacoes;UnidadesCurriculares2SemestreAprovado;UnidadesCurriculares2SemestreGrau;UnidadesCurriculares2SemestreSemAvaliacoes;TaxaDesemprego;TaxaInflacao;PIB;Target
Solteiro;Enfermagem Veterinária;Ensino Secundário;138;Português;131;0;0;1;Feminino;0;0;0;5;9;5;1,26667E+16;2;0;5;7;4;13;0;9,4;-0,8;-3,12;Matriculado
Solteiro;Gestão;Ensino Secundário;135;Português;122,1;0;0;1;Feminino;0;0;0;5;6;5;12;0;0;5;6;5;1,23333E+16;0;16,2;0,3;-0,92;Graduado
Solteiro;Enfermagem;Ensino Secundário;127;Português;118,8;0;0;1;Masculino;0;0;0;7;9;6;1,29333E+16;0;0;7;7;6;1,37167E+16;0;16,2;0,3;-0,92;Matriculado
Solteiro;Agronomia;Curso de Especialização Tecnológica;150;Português;150;0;0;1;Masculino;0;0;0;6;15;5;1,18571E+16;0;0;6;17;5;1,05714E+16;0;16,2;0,3;-0,92;Matriculado
Solteiro;Design de Comunicação;Ensino Secundário;125;Português;130;0;0;1;Masculino;0;0;2;6;7;6;1,28333E+16;0;0;6;9;4;13,4;0;8,9;1,4;3,51;Graduado
Solteiro;Gestão;Ensino Secundário;143;Português;138,8;0;0;0;Masculino;0;0;0;5;9;3;1,13333E+16;0;0;5;8;2;13,5;0;8,9;1,4;3,51;Matriculado
Solteiro;Serviço Social (prestação nocturna);Ensino Secundário;138;Português;134,5;0;0;1;Feminino;0;0;0;6;6;6;1,26667E+16;0;0;6;8;6;14375;0;12,4;0,5;1,79;Graduado
Solteiro;Gestão (presencial noturno);Ensino Secundário;130;Português;131,4;0;0;1;Masculino;0;0;0;5;6;5;12,4;0;0;5;9;5;1,34286E+16;0;13,9;-0,3;0,79;Graduado
Solteiro;Tecnologias de Produção de Biocombustíveis;Ensino Secundário;130;Português;102,5;0;1;0;Masculino;0;0;0;7;7;0;0;0;0;7;7;1;10;0;8,9;1,4;3,51;Desistente
Solteiro;Engenharia Informática;11º Ano de Escolaridade - Não Concluído;133,1;Português;128,8;0;0;1;Masculino;0;0;0;5;0;0;0;0;0;5;0;0;0;0;7,6;2,6;0,32;Desistente
Solteiro;Gestão;Ensino Secundário;140;Português;122,9;0;0;1;Feminino;0;0;0;5;10;1;10;0;0;5;8;2;12;2;16,2;0,3;-0,92;Desistente
Divorciado;Gestão (presencial noturno);Ensino Secundário;120;Português;113,9;0;0;1;Feminino;0;0;0;5;8;5;11;0;0;5;5;5;11,6;0;7,6;2,6;0,32;Graduado
Solteiro;Equincultura;Curso de Especialização Tecnológica;120;Espanhol;120;0;1;0;Feminino;0;1;2;6;13;3;1,16667E+16;0;1;6;11;3;12;0;12,4;0,5;1,79;Desistente
Solteiro;Jornalismo e Comunicação;Ensino Secundário;126;Português;121,1;0;1;1;Feminino;0;0;0;6;6;4;12,75;0;0;5;5;0;0;0;12,7;3,7;-1,7;Desistente
Solteiro;Gestão;Ensino Secundário;133;Português;120,4;0;0;1;Feminino;0;0;0;5;5;5;14,8;0;0;5;5;5;15,8;0;8,9;1,4;3,51;Graduado
Solteiro;Enfermagem;Ensino Secundário;103;Português;100,6;1;0;1;Feminino;0;0;0;7;9;5;13928;0;0;8;9;7;1,43429E+16;0;11,1;0,6;2,02;Graduado
Solteiro;Jornalismo e Comunicação;Ensino Secundário;120;Português;121,4;0;0;0;Feminino;0;0;0;6;7;4;13;0;0;6;7;5;13,8;0;12,4;0,5;1,79;Desistente
Solteiro;Gestão (presencial noturno);Ensino Secundário;133,1;Português;109,7;0;0;1;Feminino;0;0;0;5;0;0;0;0;0;5;0;0;0;0;16,2;0,3;-0,92;Desistente
Solteiro;Gestão (presencial noturno);Ensino Secundário;154;Português;134,1;0;0;1;Feminino;0;0;0;5;9;2;11,5;0;0;5;11;3;1,43333E+16;1;7,6;2,6;0,32;Matriculado
Solteiro;Serviço Social;Ensino Secundário;130;Português;127,6;0;0;1;Feminino;0;0;0;6;6;6;1,16667E+16;0;0;6;8;5;13,2;0;11,1;0,6;2,02;Graduado
Solteiro;Enfermagem;Ensino Secundário;132;Português;132,4;0;0;1;Feminino;1;0;0;7;8;6;1,35167E+16;0;0;8;9;7;1,37714E+16;0;11,1;0,6;2,02;Graduado
Solteiro;Serviço Social (prestação nocturna);Curso de Especialização Tecnológica;130;Português;133,4;0;0;1;Feminino;1;0;3;6;6;6;11,5;0;2;6;7;6;1,32857E+16;0;12,4;0,5;1,79;Graduado
Solteiro;Serviço Social;Ensino Secundário;139;Português;126,1;0;0;1;Feminino;1;0;0;6;7;5;1,23333E+16;0;0;6;7;6;1,28333E+16;0;12,7;3,7;-1,7;Graduado
Solteiro;Turismo;Ensino Secundário;130;Português;113,5;0;0;1;Feminino;1;0;0;6;6;6;1,36667E+16;0;0;6;6;6;1,41667E+16;0;12,4;0,5;1,79;Graduado
Solteiro;Enfermagem;Ensino Secundário;139;Português;121,3;0;0;1;Feminino;1;0;0;8;10;6;1,18333E+16;0;0;8;10;6;1,18333E+16;0;9,4;-0,8;-3,12;Matriculado
Solteiro;Jornalismo e Comunicação;Ensino Secundário;127;Português;121,8;0;0;1;Feminino;1;0;0;6;11;4;14;0;0;6;12;3;11;0;9,4;-0,8;-3,12;Matriculado
Solteiro;Equincultura;Ensino Secundário;167;Português;159,3;0;0;1;Feminino;0;0;0;5;7;5;1,47143E+16;0;0;5;5;5;15,8;0;7,6;2,6;0,32;Graduado
Solteiro;Gestão (presencial noturno);Ensino Secundário;130;Português;120;0;0;1;Feminino;0;0;0;5;12;5;10,6;0;0;5;10;5;11;0;9,4;-0,8;-3,12;Desistente
Solteiro;Enfermagem;Ensino Secundário;130;Português;129,1;0;0;1;Feminino;0;0;0;7;9;7;1,30444E+16;0;0;8;10;8;13595;0;15,5;2,8;-4,06;Graduado
Casado;Turismo;Ensino Superior - Licenciatura;130;Português;130;0;0;1;Feminino;0;0;0;6;10;0;0;0;0;6;6;0;0;0;12,4;0,5;1,79;Desistente
Solteiro;Equincultura;Ensino Superior - Licenciatura (1º Ciclo);129;Português;155,3;0;0;1;Feminino;0;0;0;6;9;5;13;0;5;11;13;10;12,9;0;12,4;0,5;1,79;Desistente
Solteiro;Enfermagem;Ensino Secundário;141;Português;139,8;0;0;1;Feminino;0;0;0;8;8;8;14935;0;0;8;8;8;14935;0;9,4;-0,8;-3,12;Graduado
Solteiro;Design de Animação e Multimédia;Ensino Secundário;125;Português;115,2;0;0;1;Feminino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,6;2,6;0,32;Matriculado
Solteiro;Enfermagem;Ensino Secundário;125;Português;114,9;0;0;1;Feminino;0;0;0;7;8;6;1,31333E+16;0;0;8;12;7;1,22214E+16;0;16,2;0,3;-0,92;Graduado
Solteiro;Serviço Social;Curso de Especialização Tecnológica;130;Português;131,9;0;0;1;Feminino;1;0;3;6;7;6;12;0;2;6;7;6;12;0;13,9;-0,3;0,79;Graduado
Solteiro;Design de Animação e Multimédia;Ensino Secundário;133;Português;126;0;0;1;Masculino;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10,8;1,4;1,74;Matriculado
Solteiro;Design de Comunicação;Ensino Secundário;127;Português;130,2;0;0;1;Masculino;0;0;0;6;6;5;11,4;0;0;6;8;1;10;0;10,8;1,4;1,74;Matriculado
Solteiro;Design de Comunicação;Ensino Secundário;116;Português;120,9;0;0;1;Masculino;0;0;0;6;6;0;0;0;0;6;6;0;0;0;12,7;3,7;-1,7;Matriculado
Divorciado;Enfermagem;Ensino Básico (3º Ciclo);133,1;Português;126;0;0;1;Masculino;0;0;2;7;10;5;11,9;0;1;8;10;5;11;0;13,9;-0,3;0,79;Desistente
Solteiro;Design de Animação e Multimédia;Ensino Secundário;139;Português;128,2;0;0;1;Masculino;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10,8;1,4;1,74;Graduado
Solteiro;Agronomia;Curso de Especialização Tecnológica;130;Português;130;0;0;1;Masculino;0;0;0;6;8;6;1,25714E+16;0;0;6;7;6;1,24286E+16;0;8,9;1,4;3,51;Graduado
Solteiro;Gestão;Ensino Secundário;125;Português;120,1;0;1;1;Masculino;0;0;0;5;8;5;11,2;0;0;5;10;4;10,75;3;16,2;0,3;-0,92;Desistente
Solteiro;Turismo;Ensino Secundário;160;Português;100;0;0;1;Masculino;0;0;0;6;7;6;12;0;0;6;8;5;10,8;0;12,7;3,7;-1,7;Matriculado
Solteiro;Gestão;Ensino Secundário;148;Português;134;0;0;1;Masculino;0;0;0;5;9;0;0;0;0;5;5;0;0;0;7,6;2,6;0,32;Matriculado
Solteiro;Enfermagem;Ensino Secundário;150;Português;130,8;0;0;1;Masculino;0;0;0;7;8;7;11975;0;0;8;8;8;13,75;0;13,9;-0,3;0,79;Graduado
Solteiro;Design de Animação e Multimédia;Ensino Secundário;141;Português;135,8;0;0;1;Masculino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,5;2,8;-4,06;Desistente
Solteiro;Turismo;Ensino Secundário;118;Português;111,7;0;0;1;Masculino;0;0;0;6;12;3;1,16667E+16;0;0;6;12;1;12;0;12,4;0,5;1,79;Desistente
Solteiro;Jornalismo e Comunicação;Ensino Secundário;142;Português;132,9;0;0;1;Masculino;0;0;0;6;8;6;1,23333E+16;0;0;6;11;3;1,23333E+16;0;10,8;1,4;1,74;Graduado
Solteiro;Gestão;Ensino Secundário;120;Português;115,5;0;1;1;Masculino;0;0;0;5;8;3;1,03333E+16;0;0;5;11;3;1,08571E+16;0;10,8;1,4;1,74;Desistente
Solteiro;Turismo;Ensino Secundário;106;Português;106;0;0;1;Masculino;1;0;0;6;8;4;10,5;0;0;6;11;1;11;0;9,4;-0,8;-3,12;Desistente
Solteiro;Jornalismo e Comunicação;Ensino Secundário;121;Português;120,3;0;1;1;Masculino;1;0;0;6;6;6;1,36667E+16;0;0;6;6;6;1,33333E+16;0;8,9;1,4;3,51;Graduado
Solteiro;Enfermagem;Ensino Secundário;150;Português;130,8;0;0;1;Masculino;1;0;0;7;7;7;1,48429E+16;0;0;8;9;8;1,50556E+16;0;16,2;0,3;-0,92;Graduado
Casado;Serviço Social (prestação nocturna);Ensino Secundário;120;Português;117;0;0;1;Masculino;0;0;0;6;8;6;12;0;0;6;6;6;1,16667E+16;0;10,8;1,4;1,74;Graduado
Solteiro;Ensino Básico;Ensino Secundário;114;Português;110,2;0;0;1;Masculino;0;0;0;6;8;5;12,2;0;0;6;7;5;12,2;0;10,8;1,4;1,74;Desistente
Solteiro;Gestão (presencial noturno);Ensino Superior - Licenciatura;140;Português;155,7;0;0;1;Masculino;0;0;0;1;1;0;0;1;0;5;0;0;0;0;10,8;1,4;1,74;Desistente
Solteiro;Agronomia;Ensino Superior - Mestrado;160;Português;180,4;0;1;1;Masculino;0;0;6;12;17;6;1,21667E+16;0;7;12;14;10;13,3;0;12,4;0,5;1,79;Desistente
Solteiro;Turismo;Ensino Secundário;120;Português;125,5;0;0;1;Masculino;0;0;0;5;6;5;12;0;0;5;8;3;1,13333E+16;0;12,7;3,7;-1,7;Matriculado
Casado;Serviço Social (prestação nocturna);Ensino Secundário;130;Português;110;0;0;1;Feminino;0;0;0;6;7;6;11;0;0;6;11;5;11;0;9,4;-0,8;-3,12;Graduado
Solteiro;Enfermagem;Ensino Secundário;160;Português;161;0;0;1;Feminino;1;0;0;8;8;7;13,08;0;0;8;8;7;13,08;0;10,8;1,4;1,74;Graduado
Solteiro;Gestão de Publicidade e Marketing;Ensino Secundário;120;Português;100;0;0;1;Feminino;1;0;0;5;7;4;10,5;0;0;5;7;5;11,6;0;9,4;-0,8;-3,12;Graduado
Solteiro;Design de Comunicação;Ensino Secundário;124;Português;117,6;0;0;1;Masculino;0;0;0;6;9;6;1,06667E+16;1;0;6;6;5;11,2;0;7,6;2,6;0,32;Graduado
Solteiro;Gestão;Ensino Secundário;143;Português;128,7;0;0;1;Masculino;0;0;0;5;6;4;14;0;0;5;5;5;13,8;0;11,1;0,6;2,02;Matriculado
Solteiro;Engenharia Informática;Ensino Secundário;115;Português;112,2;0;1;1;Masculino;0;0;0;5;9;2;10;0;0;5;9;0;0;0;15,5;2,8;-4,06;Matriculado
Solteiro;Enfermagem;Ensino Secundário;133,1;Português;100,8;0;0;1;Masculino;0;0;0;7;18;0;0;0;0;7;7;0;0;0;13,9;-0,3;0,79;Desistente
Solteiro;Jornalismo e Comunicação;Ensino Secundário;133,1;Brasileiro;105;0;0;0;Feminino;0;1;0;6;6;6;14;0;0;6;6;6;13,5;0;8,9;1,4;3,51;Graduado
Solteiro;Equincultura;Ensino Secundário;133,1;Brasileiro;100;0;0;1;Feminino;0;1;0;6;7;2;12;1;0;6;6;0;0;0;8,9;1,4;3,51;Desistente
Casado;Ensino Básico;11º Ano de Escolaridade - Não Concluído;133,1;Português;115,5;0;0;1;Feminino;0;0;0;6;12;3;1,26667E+16;0;0;6;14;0;0;1;7,6;2,6;0,32;Desistente
Casado;Serviço Social (prestação nocturna);Ensino Secundário;133,1;Português;114;0;0;1;Feminino;0;0;2;8;11;8;11875;0;0;6;7;6;1,23333E+16;0;12,7;3,7;-1,7;Graduado
Solteiro;Engenharia Informática;Ensino Secundário;130;Santomense;137;0;0;1;Masculino;0;1;0;5;9;5;14;0;0;5;11;3;13,25;0;13,9;-0,3;0,79;Matriculado
Solteiro;Jornalismo e Comunicação;Ensino Secundário;135;Português;124,9;0;0;1;Feminino;0;0;0;6;6;6;1,36667E+16;0;0;6;6;6;1,33333E+16;0;8,9;1,4;3,51;Graduado
Solteiro;Enfermagem;Ensino Secundário;132;Português;120,3;0;0;1;Feminino;1;0;0;7;7;7;13,75;0;0;8;9;8;1,44778E+15;0;12,4;0,5;1,79;Graduado
Solteiro;Enfermagem Veterinária;Ensino Secundário;135;Português;134,3;0;0;1;Feminino;0;0;0;5;7;5;14,2;2;0;5;7;5;13,8;0;12,7;3,7;-1,7;Matriculado
Solteiro;Enfermagem;Ensino Secundário;115;Português;111,5;0;1;0;Feminino;0;0;0;7;10;4;11,96;0;0;7;7;0;0;0;13,9;-0,3;0,79;Desistente
Solteiro;Enfermagem Veterinária;Curso Técnico Superior Profissional;130;Português;128,8;0;0;1;Feminino;0;0;7;10;12;8;12875;0;4;9;14;5;13,4;0;8,9;1,4;3,51;Desistente
Solteiro;Design de Animação e Multimédia;Ensino Secundário;133,1;Português;110;0;0;1;Feminino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,2;0,3;-0,92;Graduado
Casado;Serviço Social (prestação nocturna);Ensino Secundário;130;Português;113,5;0;0;1;Feminino;0;0;0;6;0;0;0;0;0;6;0;0;0;0;9,4;-0,8;-3,12;Desistente
Divorciado;Agronomia;Outro - 11º Ano de Escolaridade;133,1;Português;160;0;0;1;Feminino;0;0;13;18;19;18;1,46316E+15;0;10;13;14;13;1,42308E+15;1;15,5;2,8;-4,06;Graduado
Solteiro;Ensino Básico;Ensino Secundário;123;Português;117,4;0;0;1;Feminino;0;0;0;6;0;0;0;0;0;6;0;0;0;0;11,1;0,6;2,02;Desistente
Solteiro;Design de Comunicação;Ensino Secundário;130;Português;122,2;0;1;1;Feminino;0;0;4;10;12;10;13;0;5;11;11;11;1,22727E+16;0;11,1;0,6;2,02;Graduado
Solteiro;Serviço Social;Ensino Secundário;122;Português;118,2;0;0;1;Feminino;0;0;0;6;0;0;0;0;0;6;0;0;0;0;16,2;0,3;-0,92;Desistente
Solteiro;Enfermagem Veterinária;Ensino Secundário;113;Português;106,7;0;0;1;Feminino;0;0;0;6;15;4;14,2;0;0;6;17;4;13,25;0;15,5;2,8;-4,06;Desistente
Solteiro;Enfermagem;Ensino Secundário;111;Português;108,2;0;0;1;Feminino;0;0;2;7;9;6;1,32667E+16;0;0;7;10;5;12,3;0;12,4;0,5;1,79;Desistente
Solteiro;Ensino Básico;Ensino Secundário;133,1;Português;107;0;0;1;Feminino;0;0;0;7;12;6;1,16667E+16;0;0;7;10;3;13;0;16,2;0,3;-0,92;Matriculado
Solteiro;Serviço Social;Ensino Secundário;142;Português;136,1;0;0;1;Feminino;0;0;0;6;8;6;1,38571E+16;0;0;6;6;6;15;0;13,9;-0,3;0,79;Graduado
Solteiro;Gestão;Ensino Secundário;123;Português;115,3;0;0;1;Feminino;1;0;0;5;9;3;13;0;0;5;11;3;11;0;8,9;1,4;3,51;Matriculado
Solteiro;Enfermagem Veterinária;Ensino Secundário;131;Português;139,8;0;0;1;Feminino;0;0;0;5;6;5;13,4;0;0;5;5;5;12,8;0;10,8;1,4;1,74;Graduado
Solteiro;Jornalismo e Comunicação;Ensino Secundário;158;Português;157;0;0;1;Feminino;0;0;0;6;6;6;1,26667E+16;0;0;6;7;6;1,25714E+16;0;10,8;1,4;1,74;Graduado
Solteiro;Enfermagem;Ensino Secundário;122;Português;131;0;0;1;Feminino;0;0;0;7;7;6;1,25167E+16;1;0;7;7;6;1,25167E+16;1;7,6;2,6;0,32;Desistente
Solteiro;Enfermagem;Ensino Secundário;130;Português;100;0;0;1;Feminino;0;0;0;7;11;6;1,16167E+16;0;0;7;7;7;13;0;13,9;-0,3;0,79;Matriculado
Solteiro;Serviço Social;Ensino Secundário;154;Português;140,4;0;0;1;Feminino;1;0;0;6;13;2;10;0;0;6;12;4;10,75;0;7,6;2,6;0,32;Matriculado
Solteiro;Gestão;Ensino Secundário;120;Português;113,4;0;0;1;Feminino;0;0;0;5;11;3;1,03333E+16;0;0;5;10;3;1,06667E+16;0;12,4;0,5;1,79;Matriculado
Solteiro;Enfermagem Veterinária;Ensino Secundário;140;Português;137;0;0;1;Feminino;0;0;0;5;12;5;1,31429E+16;2;0;5;6;5;11,4;0;9,4;-0,8;-3,12;Graduado
Solteiro;Gestão;Ensino Secundário;127;Português;121,8;0;0;1;Feminino;0;0;0;5;5;5;12,6;0;0;5;5;5;14;0;11,1;0,6;2,02;Graduado
Solteiro;Turismo;Ensino Secundário;133,1;Português;131;0;0;1;Feminino;0;0;0;6;12;3;11;0;0;6;12;2;11;0;9,4;-0,8;-3,12;Desistente
Solteiro;Gestão;Ensino Secundário;120;Português;118,6;0;0;1;Feminino;0;0;0;5;8;5;10,8;0;0;5;9;4;11,25;2;16,2;0,3;-0,92;Graduado
Solteiro;Design de Animação e Multimédia;Ensino Secundário;137;Português;122,3;0;0;1;Feminino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,8;1,4;1,74;Desistente
Solteiro;Gestão de Publicidade e Marketing;Ensino Secundário;131;Português;127,9;0;0;1;Feminino;1;0;0;5;5;5;12,8;0;0;5;5;5;14,2;0;9,4;-0,8;-3,12;Graduado
Solteiro;Enfermagem Veterinária;Ensino Secundário;130;Português;121,3;0;0;1;Feminino;0;0;0;6;15;6;1,41667E+16;0;0;6;13;6;12,2;0;15,5;2,8;-4,06;Graduado
Solteiro;Higiene Oral;Ensino Secundário;122;Português;117,1;0;0;1;Feminino;0;0;0;7;12;5;12,1;0;0;7;0;0;0;0;13,9;-0,3;0,79;Desistente
Solteiro;Enfermagem Veterinária;Curso de Especialização Tecnológica;160;Português;160;0;0;1;Feminino;0;0;1;6;7;6;1,41667E+16;0;1;6;17;5;1,37778E+15;0;12,4;0,5;1,79;Graduado
Solteiro;Ensino Básico;Ensino Secundário;146;Português;145,3;0;0;1;Feminino;1;0;0;6;8;5;12,8;0;0;6;7;5;13,4;0;9,4;-0,8;-3,12;Matriculado
Solteiro;Serviço Social;Ensino Secundário;131;Português;122,6;0;0;1;Feminino;0;0;0;6;7;6;13;0;0;6;6;6;1,36667E+16;0;12,4;0,5;1,79;Graduado
Solteiro;Enfermagem;Ensino Secundário;132;Português;128;0;0;1;Feminino;0;0;0;7;7;7;1,34671E+16;0;0;8;9;8;1,50111E+16;0;12,4;0,5;1,79;Graduado
Solteiro;Enfermagem;Ensino Secundário;138;Português;124,9;0;0;1;Feminino;1;0;0;7;9;7;132375;0;0;8;9;7;1,37429E+16;0;13,9;-0,3;0,79;Desistente
Solteiro;Design de Comunicação;Ensino Secundário;130;Português;123,7;0;0;1;Feminino;0;0;0;6;6;6;1,23333E+16;0;0;6;6;6;13;0;7,6;2,6;0,32;Graduado
Solteiro;Gestão;Ensino Secundário;126;Português;120,1;0;0;1;Feminino;0;0;0;5;7;5;12,4;0;0;5;5;5;14,6;0;8,9;1,4;3,51;Graduado
Solteiro;Enfermagem;Ensino Secundário;148;Português;131,7;0;0;1;Feminino;0;0;0;7;8;5;14;0;0;7;7;0;0;0;13,9;-0,3;0,79;Desistente
Solteiro;Serviço Social;Ensino Secundário;130;Português;133,2;0;0;1;Feminino;0;0;5;9;15;9;1,16667E+16;0;2;7;8;7;1,17143E+16;0;7,6;2,6;0,32;Graduado
Solteiro;Gestão de Publicidade e Marketing;Ensino Secundário;117;Português;109,3;0;1;0;Feminino;1;0;0;6;7;5;12;0;0;6;9;4;12,5;0;12,4;0,5;1,79;Desistente
Solteiro;Gestão de Publicidade e Marketing;Ensino Secundário;120;Português;113;0;0;1;Feminino;0;0;0;5;7;4;12,2;0;0;5;5;4;11,5;0;7,6;2,6;0,32;Graduado
Solteiro;Jornalismo e Comunicação;Ensino Secundário;153;Português;157,9;0;1;1;Feminino;1;0;0;6;6;6;1,48333E+16;0;0;6;6;6;1,48333E+16;0;8,9;1,4;3,51;Graduado
